order_id,created_at,buyerEmail,buyerPhone,customerId,line_items,totalAmount,currencyCode,state,address_line1,address_city,address_country,email,phone,cust_id,items,amount,ccy,order_ts,geo_region,shipping_address_line1,shipping_address_city,shipping_address_country,shipping_address,address,orderRef,created,total,currency,region,shippingAddress,customer_id,customer_email,customer_phone,shippingAddress_line1,shippingAddress_city,shippingAddress_country
ORD-000024,2023-12-04 18:11:40+00:00,,+2348081621574,CUST-00666,"[{'sku': 'SKU-0025', 'quantity': 3, 'unit_price': 13000}, {'sku': 'SKU-0003', 'quantity': 3, 'unit_price': 2700}, {'sku': 'SKU-0104', 'quantity': 3, 'unit_price': 25200}, {'sku': 'SKU-0019', 'quantity': 2, 'unit_price': 12500}]",147700.0,NGN,Lagos,,,,,,,,,,,,,,,,"82 Wuse Rd, Lagos",,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0161', 'qty': 3, 'price': 12500}, {'sku': 'SKU-0058', 'qty': 3, 'price': 4000}]",,,,,,,,,,ORD-000025,2023-08-28 19:08,49500.0,NGN,Lagos,"8 Alausa Rd, Lagos",,user206@shop.ng,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0110', 'qty': 1, 'price': 18200}, {'sku': 'SKU-0135', 'qty': 2, 'price': 6700}, {'sku': 'SKU-0043', 'qty': 1, 'price': 6500}]",,,,,,,,,,ORD-000026,2023-04-24 22:23,38100.0,NGN,Kano,"66 Alausa Rd, Kano",CUST-00700,user1195@mail.com,+2348095618110,,,
ORD-000027,2023-12-16 23:52:50+00:00,user1433@pulse.africa,,CUST-00589,"[{'sku': 'SKU-0040', 'quantity': 1, 'unit_price': 10000}, {'sku': 'SKU-0088', 'quantity': 3, 'unit_price': 4500}, {'sku': 'SKU-0163', 'quantity': 2, 'unit_price': 9500}, {'sku': 'SKU-0116', 'quantity': 2, 'unit_price': 12200}, {'sku': 'SKU-0098', 'quantity': 2, 'unit_price': 6500}]",80400.0,NGN,Kano,102 Sabon Gari Rd,Kano,NG,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,user270@example.com,+2348053851498,CUST-00594,"[{'sku': 'SKU-0190', 'qty': 2, 'price': 9500}, {'sku': 'SKU-0198', 'qty': 1, 'price': 18500}, {'sku': 'SKU-0056', 'qty': 3, 'price': 25200}, {'sku': 'SKU-0158', 'qty': 2, 'price': 2700}, {'sku': 'SKU-0160', 'qty': 1, 'price': 9000}]",127500.0,NGN,1698647004.0,Lagos,45 Garki Rd,Lagos,NG,,,,,,,,,,,,,,
ORD-000029,2023-07-26 03:54:09+00:00,user463@shop.ng,+2348084801233,,"[{'sku': 'SKU-0212', 'quantity': 1, 'unit_price': 12500}, {'sku': 'SKU-0211', 'quantity': 2, 'unit_price': 3000}, {'sku': 'SKU-0191', 'quantity': 2, 'unit_price': 1500}]",22000.0,NGN,PH,,,,,,,,,,,,,,,,"203 Wuse Rd, PH",,,,,,,,,,,,
,,,,,,,,,,,,user1250@mail.com,+2348095282470,CUST-00575,"[{'productSku': 'SKU-0172', 'qty': 3, 'price': 9500}, {'productSku': 'SKU-0149', 'qty': 2, 'price': 3000}, {'productSku': 'SKU-0027', 'qty': 3, 'price': 2700}]",42600.0,NGN,1676678149.0,Kaduna,233 Sabon Gari Rd,Kaduna,NG,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0029', 'qty': 1, 'price': 2700}, {'sku': 'SKU-0137', 'qty': 1, 'price': 2500}, {'sku': 'SKU-0116', 'qty': 2, 'price': 13000}, {'sku': 'SKU-0150', 'qty': 3, 'price': 12200}]",,,,,,,,,,ORD-000031,2023-01-15 10:50,77.49,USD,Kano,"244 Garki Rd, Kano",CUST-00631,user573@example.com,+2348039161443,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0165', 'qty': 2, 'price': 9000}, {'sku': 'SKU-0101', 'qty': 2, 'price': 2700}, {'sku': 'SKU-0031', 'qty': 2, 'price': 9000}, {'sku': 'SKU-0169', 'qty': 1, 'price': 9000}, {'sku': 'SKU-0012', 'qty': 2, 'price': 9200}]",,,,,,,,,,ORD-000032,2023-09-24 07:00,77.27,USD,Kano,"38 GRA Rd, Kano",,user425@mail.com,+2348041272553,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0204', 'qty': 1, 'price': 1500}, {'sku': 'SKU-0169', 'qty': 1, 'price': 9200}, {'sku': 'SKU-0003', 'qty': 2, 'price': 2700}]",,,,,,,,,,ORD-000033,2023-02-20 11:36,16100.0,NGN,PH,"200 Sabon Gari Rd, PH",,user260@shop.ng,+2348018530615,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0157', 'qty': 1, 'price': 2000}, {'sku': 'SKU-0117', 'qty': 3, 'price': 6500}]",,,,,,,,,,ORD-000034,2023-06-25 12:59,21500.0,NGN,PH,,CUST-00412,user222@shop.ng,+2348069533928,,,
,,,,,,,,,,,,user235@mail.com,+2348040667888,CUST-00102,"[{'sku': 'SKU-0070', 'qty': 3, 'price': 4500}, {'sku': 'SKU-0097', 'qty': 3, 'price': 7000}]",34500.0,NGN,1677508457.0,Lagos,,,,"212 Wuse Rd, Lagos",,,,,,,,,,,,,
ORD-000036,2023-06-15 17:43:43+00:00,user1202@pulse.africa,+2348065137801,CUST-00134,"[{'sku': 'SKU-0095', 'quantity': 1, 'unit_price': 3500}, {'sku': 'SKU-0017', 'quantity': 1, 'unit_price': 2500}, {'sku': 'SKU-0023', 'quantity': 2, 'unit_price': 2500}]",11000.0,NGN,Kano,,,,,,,,,,,,,,,,"171 Wuse Rd, Kano",,,,,,,,,,,,
,,,,,,,,,,,,user879@example.com,+2348098292612,,"[{'sku': 'SKU-0079', 'qty': 2, 'price': 12000}, {'sku': 'SKU-0147', 'qty': 3, 'price': 6700}, {'sku': 'SKU-0039', 'qty': 3, 'price': 26000}, {'sku': 'SKU-0057', 'qty': 1, 'price': 2000}, {'sku': 'SKU-0216', 'qty': 3, 'price': 4500}]",137600.0,NGN,1674257443.0,Kano,69 Alausa Rd,Kano,NG,,,,,,,,,,,,,,
ORD-000038,2023-12-24 21:21:08+00:00,user699@mail.com,+2348053537934,CUST-00386,"[{'sku': 'SKU-0001', 'quantity': 1, 'unit_price': 9200}, {'sku': 'SKU-0144', 'quantity': 3, 'unit_price': 3500}, {'sku': 'SKU-0017', 'quantity': 1, 'unit_price': 2500}]",22200.0,NGN,Kano,146 GRA Rd,Kano,NG,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0012', 'qty': 3, 'price': 9000}, {'sku': 'SKU-0069', 'qty': 2, 'price': 10000}, {'sku': 'SKU-0124', 'qty': 3, 'price': 3500}, {'sku': 'SKU-0106', 'qty': 2, 'price': 25200}, {'sku': 'SKU-0193', 'qty': 3, 'price': 6500}]",,,,,,,,,,ORD-000039,2023-03-02 10:06,127400.0,NGN,Abuja,,,user1215@shop.ng,+2348051395350,,,
,,,,,,,,,,,,user360@mail.com,+2348040884937,,"[{'sku': 'SKU-0077', 'qty': 1, 'price': 12200}, {'sku': 'SKU-0195', 'qty': 2, 'price': 18500}]",49200.0,NGN,1674369377.0,Lagos,,,,"214 Sabon Gari Rd, Lagos",,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0019', 'qty': 2, 'price': 13000}, {'sku': 'SKU-0146', 'qty': 2, 'price': 3500}, {'sku': 'SKU-0074', 'qty': 1, 'price': 3500}, {'sku': 'SKU-0005', 'qty': 2, 'price': 18200}]",,,,,,,,,,ORD-000041,2023-06-19 09:51,72900.0,NGN,Lagos,"103 GRA Rd, Lagos",CUST-00707,user181@shop.ng,+2348042657384,,,
ORD-000042,2023-10-17 15:24:17+00:00,user720@mail.com,+2348029655410,,"[{'sku': 'SKU-0085', 'quantity': 1, 'unit_price': 25000}, {'sku': 'SKU-0130', 'quantity': 3, 'unit_price': 4000}]",37000.0,NGN,Kano,,,,,,,,,,,,,,,,"45 GRA Rd, Kano",,,,,,,,,,,,
,,,,,,,,,,,,user721@example.com,+2348070654852,CUST-00282,"[{'sku': 'SKU-0118', 'qty': 3, 'price': 7500}, {'sku': 'SKU-0174', 'qty': 3, 'price': 12500}, {'sku': 'SKU-0160', 'qty': 2, 'price': 9200}, {'sku': 'SKU-0112', 'qty': 1, 'price': 26000}]",104400.0,NGN,1675059636.0,Abuja,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,user173@mail.com,,CUST-00352,"[{'sku': 'SKU-0152', 'qty': 3, 'price': 13000}, {'sku': 'SKU-0118', 'qty': 3, 'price': 6500}, {'sku': 'SKU-0115', 'qty': 3, 'price': 18200}, {'sku': 'SKU-0082', 'qty': 3, 'price': 7500}, {'sku': 'SKU-0128', 'qty': 1, 'price': 25000}]",160600.0,NGN,1701530618.0,Lagos,113 GRA Rd,Lagos,NG,,,,,,,,,,,,,,
ORD-000045,2023-12-23 11:47:27+00:00,user1235@mail.com,+2348088213973,CUST-00673,"[{'sku': 'SKU-0104', 'quantity': 2, 'unit_price': 25000}, {'sku': 'SKU-0202', 'quantity': 3, 'unit_price': 4500}, {'sku': 'SKU-0016', 'quantity': 2, 'unit_price': 6500}, {'sku': 'SKU-0142', 'quantity': 3, 'unit_price': 3500}]",87000.0,NGN,Kano,235 Sabon Gari Rd,Kano,NG,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,user1404@example.com,+2348066828640,CUST-00131,"[{'sku': 'SKU-0152', 'qty': 3, 'price': 12000}, {'sku': 'SKU-0079', 'qty': 3, 'price': 13000}]",75000.0,NGN,1695968298.0,Kaduna,,,,"5 Sabon Gari Rd, Kaduna",,,,,,,,,,,,,
ORD-000047,2023-10-25 13:05:36+00:00,user78@pulse.africa,+2348092950779,CUST-00757,"[{'sku': 'SKU-0057', 'quantity': 1, 'unit_price': 1700}, {'sku': 'SKU-0019', 'quantity': 2, 'unit_price': 12000}]",25700.0,NGN,Kaduna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0184', 'qty': 2, 'price': 1500}, {'sku': 'SKU-0105', 'qty': 2, 'price': 4200}]",,,,,,,,,,ORD-000048,2023-03-12 05:36,12.36,USD,PH,,CUST-00460,user490@pulse.africa,+2348072950208,50 Sabon Gari Rd,PH,NG
,,,,,,,,,,,,user584@example.com,+2348046613428,CUST-00529,"[{'productSku': 'SKU-0199', 'qty': 2, 'price': 5000}, {'productSku': 'SKU-0041', 'qty': 1, 'price': 6700}, {'productSku': 'SKU-0064', 'qty': 1, 'price': 10000}]",30.48,USD,1687315195.0,Kaduna,,,,"132 Garki Rd, Kaduna",,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0006', 'qty': 2, 'price': 1500}, {'sku': 'SKU-0101', 'qty': 3, 'price': 3000}, {'sku': 'SKU-0060', 'qty': 2, 'price': 18000}]",,,,,,,,,,ORD-000050,2023-11-14 04:13,48000.0,NGN,Kaduna,,,user1464@pulse.africa,+2348028468304,,,
ORD-000051,2023-09-28 07:51:40+00:00,user1276@shop.ng,,,"[{'sku': 'SKU-0114', 'quantity': 3, 'unit_price': 2500}, {'sku': 'SKU-0020', 'quantity': 1, 'unit_price': 9500}, {'sku': 'SKU-0055', 'quantity': 1, 'unit_price': 7500}, {'sku': 'SKU-0028', 'quantity': 2, 'unit_price': 6700}]",37900.0,NGN,Abuja,128 GRA Rd,Abuja,NG,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,user1073@pulse.africa,,CUST-00681,"[{'sku': 'SKU-0183', 'qty': 1, 'price': 18500}, {'sku': 'SKU-0109', 'qty': 1, 'price': 3000}]",21500.0,NGN,1689824339.0,PH,,,,"130 GRA Rd, PH",,,,,,,,,,,,,
ORD-000053,2023-01-17 21:46:12+00:00,user722@pulse.africa,+2348033500064,CUST-00341,"[{'sku': 'SKU-0064', 'quantity': 3, 'unit_price': 9000}, {'sku': 'SKU-0091', 'quantity': 1, 'unit_price': 9500}, {'sku': 'SKU-0061', 'quantity': 3, 'unit_price': 2500}]",44000.0,NGN,Kaduna,176 Wuse Rd,Kaduna,NG,,,,,,,,,,,,,,,,,,,,,,,,,
ORD-000054,2023-09-03 08:12:17+00:00,,+2348079173614,,"[{'sku': 'SKU-0016', 'quantity': 3, 'unit_price': 7500}, {'sku': 'SKU-0009', 'quantity': 2, 'unit_price': 6700}]",35900.0,NGN,Abuja,,,,,,,,,,,,,,,,"209 GRA Rd, Abuja",,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0091', 'qty': 1, 'price': 9500}, {'sku': 'SKU-0069', 'qty': 1, 'price': 9500}, {'sku': 'SKU-0111', 'qty': 2, 'price': 19000}]",,,,,,,,,,ORD-000055,2023-10-20 13:10,60.13,USD,Abuja,"22 Wuse Rd, Abuja",CUST-00192,user1019@pulse.africa,+2348079696025,,,
,,,,,,,,,,,,user563@example.com,,CUST-00630,"[{'productSku': 'SKU-0075', 'qty': 2, 'price': 9000}, {'productSku': 'SKU-0020', 'qty': 2, 'price': 9500}, {'productSku': 'SKU-0078', 'qty': 2, 'price': 2500}, {'productSku': 'SKU-0042', 'qty': 3, 'price': 13000}, {'productSku': 'SKU-0089', 'qty': 2, 'price': 18000}]",117000.0,NGN,1700124394.0,Abuja,94 GRA Rd,Abuja,NG,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0008', 'qty': 1, 'price': 1500}, {'sku': 'SKU-0060', 'qty': 3, 'price': 18500}, {'sku': 'SKU-0092', 'qty': 2, 'price': 12000}, {'sku': 'SKU-0154', 'qty': 1, 'price': 5000}]",,,,,,,,,,ORD-000057,2023-02-25 10:48,92.01,USD,PH,"246 Alausa Rd, PH",CUST-00079,user1085@pulse.africa,+2348097182566,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0143', 'qty': 1, 'price': 3000}, {'sku': 'SKU-0198', 'qty': 2, 'price': 19000}, {'sku': 'SKU-0054', 'qty': 3, 'price': 18500}, {'sku': 'SKU-0177', 'qty': 2, 'price': 1700}]",,,,,,,,,,ORD-000058,2023-07-13 19:25,99900.0,NGN,PH,,CUST-00463,user1461@shop.ng,+2348052894344,182 Alausa Rd,PH,NG
ORD-000059,2023-12-13 03:48:48+00:00,user1012@example.com,+2348086809773,,"[{'sku': 'SKU-0182', 'quantity': 3, 'unit_price': 25200}, {'sku': 'SKU-0203', 'quantity': 2, 'unit_price': 2700}]",81000.0,NGN,Kano,,,,,,,,,,,,,,,,"206 GRA Rd, Kano",,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0183', 'qty': 3, 'price': 19000}, {'sku': 'SKU-0134', 'qty': 2, 'price': 26000}, {'sku': 'SKU-0210', 'qty': 3, 'price': 12000}, {'sku': 'SKU-0032', 'qty': 2, 'price': 12000}]",,,,,,,,,,ORD-000060,2023-01-26 12:49,169000.0,NGN,Kano,"234 Alausa Rd, Kano",CUST-00353,user1130@mail.com,+2348027318510,,,
,,,,,,,,,,,,user1129@pulse.africa,,,"[{'sku': 'SKU-0041', 'qty': 2, 'price': 6700}, {'sku': 'SKU-0088', 'qty': 3, 'price': 4500}]",26900.0,NGN,1677665547.0,Kano,,,,"137 Alausa Rd, Kano",,,,,,,,,,,,,
,,,,,,,,,,,,user1118@pulse.africa,+2348050546385,,"[{'sku': 'SKU-0184', 'qty': 3, 'price': 2000}, {'sku': 'SKU-0215', 'qty': 3, 'price': 2500}, {'sku': 'SKU-0211', 'qty': 1, 'price': 2500}, {'sku': 'SKU-0011', 'qty': 3, 'price': 25500}, {'sku': 'SKU-0166', 'qty': 1, 'price': 2500}]",95000.0,NGN,1677705101.0,Abuja,,,,"207 Wuse Rd, Abuja",,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[{'sku': 'SKU-0123', 'qty': 2, 'price': 25200}, {'sku': 'SKU-0087', 'qty': 3, 'price': 25200}, {'sku': 'SKU-0080', 'qty': 3, 'price': 2000}, {'sku': 'SKU-0187', 'qty': 2, 'price': 2500}]",,,,,,,,,,ORD-000063,2023-03-03 09:24,137000.0,NGN,Kaduna,"64 Garki Rd, Kaduna",CUST-00576,,+2348026444612,,,
ORD-000064,2023-05-30 04:32:09+00:00,user1036@shop.ng,+2348038876195,,"[{'sku': 'SKU-0063', 'quantity': 1, 'unit_price': 25500}, {'sku': 'SKU-0147', 'quantity': 3, 'unit_price': 7000}, {'sku': 'SKU-0048', 'quantity': 1, 'unit_price': 26000}, {'sku': 'SKU-0131', 'quantity': 2, 'unit_price': 2500}]",79.32,USD,PH,13 Alausa Rd,PH,NG,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,user743@pulse.africa,,CUST-00584,"[{'sku': 'SKU-0137', 'qty': 1, 'price': 1500}, {'sku': 'SKU-0110', 'qty': 1, 'price': 18500}, {'sku': 'SKU-0186', 'qty': 2, 'price': 5000}]",30000.0,NGN,1702137599.0,Kaduna,,,,"196 GRA Rd, Kaduna",,,,,,,,,,,,,
,,,,,,,,,,,,user1025@example.com,,,"[{'sku': 'SKU-0024', 'qty': 2, 'price': 9500}, {'sku': 'SKU-0203', 'qty': 2, 'price': 3000}]",25000.0,NGN,1693034405.0,Lagos,,,,,,,,,,,,,,,,,
ORD-000067,2023-02-27 20:13:39+00:00,user631@example.com,+2348045638891,,"[{'sku': 'SKU-0035', 'quantity': 2, 'unit_price': 9500}, {'sku': 'SKU-0041', 'quantity': 2, 'unit_price': 7000}, {'sku': 'SKU-0151', 'quantity': 2, 'unit_price': 7500}, {'sku': 'SKU-0181', 'quantity': 3, 'unit_price': 9500}, {'sku': 'SKU-0121', 'quantity': 1, 'unit_price': 9500}]",86000.0,NGN,PH,201 GRA Rd,PH,NG,,,,,,,,,,,,,,,,,,,,,,,,,
